age,children,bmi,smoker,region,gender,bought
19,0,27.9,yes,southwest,female,yes
18,1,33.8,no,southeast,male,no
28,3,33,no,southeast,male,no
33,0,22.7,no,northwest,male,no
32,0,28.9,no,northwest,male,no
31,0,25.7,no,southeast,female,no
46,1,33.4,no,southeast,female,yes
37,3,27.7,no,northwest,female,yes
37,2,29.8,no,northeast,male,yes
60,0,25.8,no,northwest,female,no
25,0,26.2,no,northeast,male,no
62,0,26.3,yes,southeast,female,yes
23,0,34.4,no,southwest,male,no
56,0,39.8,no,southeast,female,yes
27,0,42.1,yes,southeast,male,no
19,1,24.6,no,southwest,male,no
52,1,30.8,no,northeast,female,yes
23,0,23.8,no,northeast,male,no
56,0,40.3,no,southwest,male,yes
30,0,35.3,yes,southwest,male,no
60,0,36,no,northeast,female,yes
30,1,32.4,no,southwest,female,no
18,0,34.1,no,southeast,male,no
34,1,31.9,yes,northeast,female,no
37,2,28,no,northwest,male,yes
59,3,27.7,no,southeast,female,yes
63,0,23.1,no,northeast,female,yes
55,2,32.8,no,northwest,female,yes
23,1,17.4,no,northwest,male,no
31,2,36.3,yes,southwest,male,no
22,0,35.6,yes,southwest,male,no
18,0,26.3,no,northeast,female,no
19,5,28.6,no,southwest,female,no
63,0,28.3,no,northwest,male,yes
28,1,36.4,yes,southwest,male,no
19,0,20.4,no,northwest,male,no
62,3,33,no,northwest,female,yes
26,0,20.8,no,southwest,male,no
35,1,36.7,yes,northeast,male,yes
60,0,39.9,yes,southwest,male,yes
24,0,26.6,no,northeast,female,no
31,2,36.6,no,southeast,female,no
41,1,21.8,no,southeast,male,yes
37,2,30.8,no,southeast,female,yes
38,1,37.1,no,northeast,male,yes
55,0,37.3,no,southwest,male,yes
18,2,38.7,no,northeast,female,no
28,0,34.8,no,northwest,female,no
60,0,24.5,no,southeast,female,yes
36,1,35.2,yes,southeast,male,yes
18,0,35.6,no,northeast,female,no
21,2,33.6,no,northwest,female,no
48,1,28,yes,southwest,male,yes
36,0,34.4,yes,southeast,male,yes
40,3,28.7,no,northwest,female,yes
58,2,37,yes,northwest,male,yes
58,2,31.8,no,northeast,female,yes
18,2,31.7,yes,southeast,male,no
53,1,22.9,yes,southeast,female,yes
34,2,37.3,no,northwest,female,no
43,3,27.4,no,northeast,male,yes
25,4,33.7,no,southeast,male,no
64,1,24.7,no,northwest,male,yes
28,1,25.9,no,northwest,female,no
20,0,22.4,yes,northwest,female,no
19,0,28.9,no,southwest,female,no
61,2,39.1,no,southwest,female,yes
40,1,26.3,no,northwest,male,yes
40,0,36.2,no,southeast,female,yes
28,3,24,yes,southeast,male,no
27,0,24.8,yes,southeast,female,no
31,5,28.5,no,northeast,male,no
53,3,28.1,no,southwest,female,yes
58,1,32,no,southeast,male,yes
44,2,27.4,no,southwest,male,yes
57,0,34,no,northwest,male,yes
29,1,29.6,no,southeast,female,no
21,0,35.5,no,southeast,male,no
22,0,39.8,no,northeast,female,no
41,0,33,no,northwest,female,yes
31,1,26.9,no,northeast,male,no
45,0,38.3,no,northeast,female,yes
22,1,37.6,yes,southeast,male,no
48,4,41.2,no,northwest,female,yes
37,2,34.8,yes,southwest,female,yes
45,2,22.9,yes,northwest,male,yes
57,0,31.2,yes,northwest,female,yes
56,0,27.2,no,southwest,female,yes
46,0,27.7,no,northwest,female,yes
55,0,27,no,northwest,female,yes
21,0,39.5,no,southeast,female,no
53,1,24.8,no,northwest,female,yes
59,3,29.8,yes,northeast,male,yes
35,2,34.8,no,northwest,male,yes
64,2,31.3,yes,southwest,female,yes
28,1,37.6,no,southeast,female,no
54,3,30.8,no,southwest,female,yes
55,0,38.3,no,southeast,male,yes
56,0,20,yes,northeast,male,yes
38,0,19.3,yes,southwest,male,yes
41,0,31.6,no,southwest,female,yes
30,0,25.5,no,northeast,male,no
18,0,30.1,no,northeast,female,no
61,3,29.9,yes,southeast,female,yes
34,1,27.5,no,southwest,female,no
20,1,28,yes,northwest,male,no
19,1,28.4,no,southwest,female,no
26,2,30.9,no,northwest,male,no
29,0,27.9,no,southeast,male,no
63,0,35.1,yes,southeast,male,yes
54,1,33.6,no,northwest,male,yes
55,2,29.7,no,southwest,female,yes
37,0,30.8,no,southwest,male,yes
21,0,35.7,no,northwest,female,no
52,3,32.2,no,northeast,male,yes
60,0,28.6,no,northeast,male,yes
58,0,49.1,no,southeast,male,yes
29,1,27.9,yes,southeast,female,no
49,0,27.2,no,southeast,female,yes
37,2,23.4,no,northwest,female,yes
44,2,37.1,no,southwest,male,yes
18,0,23.8,no,northeast,male,no
20,0,29,no,northwest,female,no
44,1,31.4,yes,northeast,male,yes
47,3,33.9,no,northwest,female,yes
26,0,28.8,no,northeast,female,no
19,0,28.3,yes,southwest,female,no
52,0,37.4,no,southwest,female,yes
32,2,17.8,yes,northwest,female,no
38,2,34.7,no,southwest,male,yes
59,0,26.5,no,northeast,female,yes
61,0,22,no,northeast,female,yes
53,2,35.9,no,southwest,female,yes
19,0,25.6,no,northwest,male,no
20,0,28.8,no,northeast,female,no
22,0,28.1,no,southeast,female,no
19,0,34.1,no,southwest,male,no
22,0,25.2,no,northwest,male,no
54,3,31.9,no,southeast,female,yes
22,0,36,no,southwest,female,no
34,2,22.4,no,northeast,male,no
26,1,32.5,no,northeast,male,no
34,2,25.3,yes,southeast,male,no
29,2,29.7,no,northwest,male,no
30,3,28.7,yes,northwest,male,no
29,3,38.8,no,southeast,female,no
46,3,30.5,yes,northwest,male,yes
51,1,37.7,no,southeast,female,yes
53,1,37.4,no,northwest,female,yes
19,1,28.4,no,southwest,male,no
35,1,24.1,no,northwest,male,yes
48,0,29.7,no,southeast,male,yes
32,3,37.1,no,northeast,female,no
42,0,23.4,yes,northeast,female,yes
40,1,25.5,no,northeast,female,yes
44,0,39.5,no,northwest,male,yes
48,0,24.4,yes,southeast,male,yes
18,0,25.2,yes,northeast,male,no
30,0,35.5,yes,southeast,male,no
50,3,27.8,no,southeast,female,yes
42,0,26.6,yes,northwest,female,yes
18,0,36.9,yes,southeast,female,no
54,1,39.6,no,southwest,male,yes
32,2,29.8,no,southwest,female,no
37,0,29.6,no,northwest,male,yes
47,4,28.2,no,northeast,male,yes
20,5,37,no,southwest,female,no
32,3,33.2,no,northwest,female,no
19,1,31.8,no,northwest,female,no
27,3,18.9,no,northeast,male,no
63,0,41.5,no,southeast,male,yes
49,0,30.3,no,southwest,male,yes
18,0,16,no,northeast,male,no
35,1,34.8,no,southwest,female,yes
24,0,33.3,no,northwest,female,no
63,0,37.7,yes,southwest,female,yes
38,2,27.8,no,northwest,male,yes
54,1,29.2,no,southwest,male,yes
46,2,28.9,no,southwest,female,yes
41,3,33.2,no,northeast,female,yes
58,0,28.6,no,northwest,male,yes
18,0,38.3,no,southeast,female,no
22,3,20,no,northeast,male,no
44,0,26.4,no,northwest,female,yes
44,2,30.7,no,southeast,male,yes
36,3,41.9,yes,northeast,male,yes
26,2,29.9,no,southeast,female,no
30,3,30.9,no,southwest,female,no
41,1,32.2,no,southwest,female,yes
29,2,32.1,no,northwest,female,no
61,0,31.6,no,southeast,male,yes
36,0,26.2,no,southwest,female,yes
25,0,25.7,no,southeast,male,no
56,1,26.6,no,northwest,female,yes
18,0,34.4,no,southeast,male,no
19,0,30.6,no,northwest,male,no
39,0,32.8,no,southwest,female,yes
45,2,28.6,no,southeast,female,yes
51,0,18.1,no,northwest,female,yes
64,0,39.3,no,northeast,female,yes
19,0,32.1,no,northwest,female,no
48,1,32.2,no,southeast,female,yes
60,0,24,no,northwest,female,yes
27,0,36.1,yes,southeast,female,no
46,0,22.3,no,southwest,male,yes
28,1,28.9,no,northeast,female,no
59,0,26.4,no,southeast,male,yes
35,2,27.7,yes,northeast,male,yes
63,0,31.8,no,southwest,female,yes
40,1,41.2,no,northeast,male,yes
20,1,33,no,southwest,male,no
40,4,30.9,no,northwest,male,yes
24,2,28.5,no,northwest,male,no
34,1,26.7,no,southeast,female,no
45,2,30.9,no,southwest,female,yes
41,2,37.1,no,southwest,female,yes
53,0,26.6,no,northwest,female,yes
27,0,23.1,no,southeast,male,no
26,1,29.9,no,southeast,female,no
24,0,23.2,no,southeast,female,no
34,1,33.7,no,southwest,female,no
53,0,33.3,no,northeast,female,yes
32,3,30.8,no,southwest,male,no
19,0,34.8,yes,southwest,male,no
42,0,24.6,yes,southeast,male,yes
55,3,33.9,no,southeast,male,yes
28,0,38.1,no,southeast,male,no
58,0,41.9,no,southeast,female,yes
41,1,31.6,no,northeast,female,yes
47,2,25.5,no,northeast,male,yes
42,1,36.2,no,northwest,female,yes
59,3,27.8,no,southeast,female,yes
19,0,17.8,no,southwest,female,no
59,1,27.5,no,southwest,male,yes
39,2,24.5,no,northwest,male,yes
40,2,22.2,yes,southeast,female,yes
18,0,26.7,no,southeast,female,no
31,2,38.4,no,southeast,male,no
19,0,29.1,yes,northwest,male,no
44,1,38.1,no,southeast,male,yes
23,2,36.7,yes,northeast,female,no
33,1,22.1,no,northeast,female,no
55,1,26.8,no,southwest,female,yes
40,3,35.3,no,southwest,male,yes
63,0,27.7,yes,northeast,female,yes
54,0,30,no,northwest,male,yes
60,0,38.1,no,southeast,female,yes
24,0,35.9,no,southeast,male,no
19,1,20.9,no,southwest,male,no
29,1,29,no,northeast,male,no
18,2,17.3,yes,northeast,male,no
63,2,32.2,yes,southwest,female,yes
54,2,34.2,yes,southeast,male,yes
27,3,30.3,no,southwest,male,no
50,0,31.8,yes,northeast,male,yes
55,3,25.4,no,northeast,female,yes
56,0,33.6,yes,northwest,male,yes
38,0,40.2,no,southeast,female,yes
51,4,24.4,no,northwest,male,yes
19,0,31.9,yes,northwest,male,no
58,0,25.2,no,southwest,female,yes
20,1,26.8,yes,southeast,female,no
52,3,24.3,yes,northeast,male,yes
19,0,37,yes,northwest,male,no
53,3,38.1,no,southeast,female,yes
46,3,42.4,yes,southeast,male,yes
40,1,19.8,yes,southeast,male,yes
59,3,32.4,no,northeast,female,yes
45,1,30.2,no,southwest,male,yes
49,1,25.8,no,northeast,male,yes
18,1,29.4,no,southeast,male,no
50,2,34.2,yes,southwest,male,yes
41,2,37.1,no,northwest,male,yes
50,1,27.5,no,northeast,male,yes
25,0,27.6,no,northwest,male,no
47,2,26.6,no,northeast,female,yes
19,2,20.6,no,northwest,male,no
22,0,24.3,no,southwest,female,no
59,2,31.8,no,southeast,male,yes
51,1,21.6,no,southeast,female,yes
40,1,28.1,yes,northeast,female,yes
54,3,40.6,yes,northeast,male,yes
30,1,27.6,no,northeast,male,no
55,1,32.4,no,northeast,female,yes
52,0,31.2,no,southwest,female,yes
46,1,26.6,no,southeast,male,yes
46,2,48.1,no,northeast,female,yes
63,0,26.2,no,northwest,female,yes
59,1,36.8,yes,northeast,female,yes
52,3,26.4,no,southeast,male,yes
28,0,33.4,no,southwest,female,no
29,1,29.6,no,northeast,male,no
25,2,45.5,yes,southeast,male,no
22,0,28.8,no,southeast,female,no
25,3,26.8,no,southwest,male,no
18,0,23,no,northeast,male,no
19,0,27.7,yes,southwest,male,no
47,1,25.4,yes,southeast,male,yes
31,3,34.4,yes,northwest,male,no
48,1,28.9,no,northwest,female,yes
36,3,27.6,no,northeast,male,yes
53,3,22.6,yes,northeast,female,yes
56,2,37.5,no,southeast,female,yes
28,2,33,no,southeast,female,no
57,2,38,no,southwest,female,yes
29,2,33.3,no,northwest,male,no
28,2,27.5,no,southwest,female,no
30,1,33.3,no,southeast,female,no
58,0,34.9,no,northeast,male,yes
41,2,33.1,no,northwest,female,yes
50,0,26.6,no,southwest,male,yes
19,0,24.7,no,southwest,female,no
43,3,36,yes,southeast,male,yes
49,0,35.9,no,southeast,male,yes
27,0,31.4,yes,southwest,female,no
52,0,33.3,no,northeast,male,yes
50,0,32.2,no,northwest,male,yes
54,0,32.8,no,northeast,male,yes
44,0,27.6,no,northwest,female,yes
32,1,37.3,no,northeast,male,no
34,1,25.3,no,northwest,male,no
26,4,29.6,no,northeast,female,no
34,0,30.8,yes,southwest,male,no
57,0,40.9,no,northeast,male,yes
29,0,27.2,no,southwest,male,no
40,1,34.1,no,northeast,male,yes
27,1,23.2,no,southeast,female,no
45,2,36.5,yes,northwest,male,yes
64,1,33.8,yes,southwest,female,yes
52,0,36.7,no,southwest,male,yes
61,1,36.4,yes,northeast,female,yes
52,0,27.4,yes,northwest,male,yes
61,0,31.2,no,northwest,female,yes
56,0,28.8,no,northeast,female,yes
43,2,35.7,no,northeast,female,yes
64,0,34.5,no,southwest,male,yes
60,0,25.7,no,southeast,male,yes
62,1,27.6,no,northwest,male,yes
50,1,32.3,yes,northeast,male,yes
46,1,27.7,no,southeast,female,yes
24,0,27.6,no,southwest,female,no
62,0,30,no,northwest,male,yes
60,0,27.6,no,northeast,female,yes
63,0,36.8,no,northeast,male,yes
49,4,41.5,no,southeast,female,yes
34,3,29.3,no,southeast,female,no
33,2,35.8,no,southeast,male,no
46,1,33.3,no,northeast,male,yes
36,1,29.9,no,southeast,female,yes
19,0,27.8,no,northwest,male,no
57,0,23.2,no,northwest,female,yes
50,0,25.6,no,southwest,female,yes
30,0,27.7,no,southwest,female,no
33,0,35.2,no,northeast,male,no
18,0,38.3,no,southeast,female,no
46,0,27.6,no,southwest,male,yes
46,3,43.9,no,southeast,male,yes
47,3,29.8,no,northwest,male,yes
23,0,41.9,no,southeast,male,no
18,0,20.8,no,southeast,female,no
48,2,32.3,no,northeast,female,yes
35,1,30.5,no,southwest,male,yes
19,0,21.7,yes,southwest,female,no
21,1,26.4,no,southwest,female,no
21,2,21.9,no,southeast,female,no
49,1,30.8,no,northeast,female,yes
56,3,32.3,no,northeast,female,yes
42,2,25,no,northwest,female,yes
44,2,32,no,northwest,male,yes
18,3,30.4,no,northeast,male,no
61,0,21.1,no,northwest,female,yes
57,0,22.2,no,northeast,female,yes
42,1,33.2,no,northeast,female,yes
26,2,32.9,yes,southwest,male,no
20,0,33.3,no,southeast,male,no
23,0,28.3,yes,northwest,female,no
39,3,24.9,yes,northeast,female,yes
24,0,40.2,yes,southeast,male,no
64,3,30.1,no,northwest,female,yes
62,1,31.5,no,southeast,male,yes
27,2,18,yes,northeast,female,no
55,0,30.7,yes,northeast,male,yes
55,0,33,no,southeast,male,yes
35,2,43.3,no,southeast,female,yes
44,2,22.1,no,northeast,male,yes
19,0,34.4,no,southwest,male,no
58,0,39.1,no,southeast,female,yes
50,2,25.4,no,northwest,male,yes
26,0,22.6,no,northwest,female,no
24,3,30.2,no,northwest,female,no
48,4,35.6,no,northeast,male,yes
19,0,37.4,no,northwest,female,no
48,1,31.4,no,northeast,male,yes
49,1,31.4,no,northeast,male,yes
46,2,32.3,no,northeast,female,yes
46,0,19.9,no,northwest,male,yes
43,3,34.4,no,southwest,female,yes
21,0,31,no,southeast,male,no
64,2,25.6,no,southwest,male,yes
18,0,38.2,no,southeast,female,no
51,0,20.6,no,southwest,female,yes
47,1,47.5,no,southeast,male,yes
64,0,33,no,northwest,female,yes
49,3,32.3,no,northwest,male,yes
31,0,20.4,no,southwest,male,no
52,2,38.4,no,northeast,female,yes
33,0,24.3,no,southeast,female,no
47,1,23.6,no,southwest,female,yes
38,3,21.1,no,southeast,male,yes
32,1,30,no,southeast,male,no
19,0,17.5,no,northwest,male,no
44,1,20.2,yes,northeast,female,yes
26,2,17.2,yes,northeast,female,no
25,5,23.9,no,southwest,male,no
19,0,35.2,no,northwest,female,no
43,1,35.6,no,southeast,female,yes
52,0,34.1,no,southeast,male,yes
36,2,22.6,yes,southwest,female,yes
64,1,39.2,no,southeast,male,yes
63,0,27,yes,northwest,female,yes
64,0,33.9,yes,southeast,male,yes
61,0,35.9,yes,southeast,male,yes
40,1,32.8,yes,northeast,male,yes
25,0,30.6,no,northeast,male,no
48,2,30.2,no,southwest,male,yes
45,5,24.3,no,southeast,male,yes
38,1,27.3,no,northeast,female,yes
18,0,29.2,no,northeast,female,no
21,1,16.8,no,northeast,female,no
27,3,30.4,no,northwest,female,no
19,0,33.1,no,southwest,male,no
29,2,20.2,no,northwest,female,no
42,0,26.9,no,southwest,male,yes
60,0,30.5,no,southwest,female,yes
31,1,28.6,no,northwest,male,no
60,3,33.1,no,southeast,male,yes
22,0,31.7,no,northeast,male,no
35,3,28.9,no,southwest,male,yes
52,5,46.8,no,southeast,female,yes
26,0,29.5,no,northeast,male,no
31,1,32.7,no,northwest,female,no
33,0,33.5,yes,southwest,female,no
18,0,43,no,southeast,male,no
59,1,36.5,no,southeast,female,yes
56,1,26.7,yes,northwest,male,yes
45,0,33.1,no,southwest,female,yes
60,0,29.6,no,northeast,male,yes
56,0,25.7,no,northwest,female,yes
40,0,29.6,no,southwest,female,yes
35,1,38.6,no,southwest,male,yes
39,4,29.6,no,southwest,male,yes
30,1,24.1,no,northwest,male,no
24,0,23.4,no,southwest,male,no
20,0,29.7,no,northwest,male,no
32,2,46.5,no,southeast,male,no
59,0,37.4,no,southwest,male,yes
55,2,30.1,no,southeast,female,yes
57,0,30.5,no,northwest,female,yes
56,0,39.6,no,southwest,male,yes
40,3,33,no,southeast,female,yes
49,3,36.6,no,southeast,female,yes
42,0,30,yes,southwest,male,yes
62,2,38.1,no,northeast,female,yes
56,0,25.9,no,northeast,male,yes
19,0,25.2,no,northwest,male,no
30,1,28.4,yes,southeast,female,no
60,1,28.7,no,southwest,female,yes
56,2,33.8,no,northwest,female,yes
28,1,24.3,no,northeast,female,no
18,1,24.1,no,southeast,female,no
27,0,32.7,no,southeast,male,no
18,0,30.1,no,northeast,female,no
19,0,29.8,no,southwest,female,no
47,0,33.3,no,northeast,female,yes
54,3,25.1,yes,southwest,male,yes
61,1,28.3,yes,northwest,male,yes
24,0,28.5,yes,northeast,male,no
25,0,35.6,no,northwest,male,no
21,0,36.9,no,southeast,male,no
23,0,32.6,no,southeast,male,no
63,3,41.3,no,northwest,male,yes
49,2,37.5,no,southeast,male,yes
18,0,31.4,no,southeast,female,no
51,1,39.5,no,southwest,female,yes
48,3,34.3,no,southwest,male,yes
31,0,31.1,no,northeast,female,no
54,3,21.5,no,northwest,female,yes
19,0,28.7,no,southwest,male,no
44,0,38.1,yes,southeast,female,yes
53,1,31.2,no,northwest,male,yes
19,0,32.9,no,southwest,female,no
61,0,25.1,no,southeast,female,yes
18,0,25.1,no,northeast,female,no
61,0,43.4,no,southwest,male,yes
21,4,25.7,yes,southwest,male,no
20,0,27.9,no,northeast,male,no
31,2,23.6,no,southwest,female,no
45,2,28.7,no,southwest,male,yes
44,2,24,no,southeast,female,yes
62,0,39.2,no,southwest,female,yes
29,0,34.4,yes,southwest,male,no
43,0,26,no,northeast,male,yes
51,1,23.2,yes,southeast,male,yes
19,0,30.3,yes,southeast,male,no
38,1,28.9,no,southeast,female,yes
37,3,30.9,no,northwest,male,yes
22,1,31.4,no,northwest,male,no
21,2,23.8,no,northwest,male,no
24,0,25.3,no,northeast,female,no
57,0,28.7,no,southwest,female,yes
56,1,32.1,no,northeast,male,yes
27,0,33.7,no,southeast,male,no
51,0,22.4,no,northeast,male,yes
19,0,30.4,no,southwest,male,no
39,1,28.3,yes,southwest,male,yes
58,0,35.7,no,southwest,male,yes
20,1,35.3,no,southeast,male,no
45,2,30.5,no,northwest,male,yes
35,1,31,no,southwest,female,yes
31,0,30.9,no,northeast,male,no
50,0,27.4,no,northeast,female,yes
32,0,44.2,no,southeast,female,no
51,0,33.9,no,northeast,female,yes
38,0,37.7,no,southeast,female,yes
42,1,26.1,yes,southeast,male,yes
18,0,33.9,no,southeast,female,no
19,2,30.6,no,northwest,female,no
51,1,25.8,no,southwest,female,yes
46,1,39.4,no,northeast,male,yes
18,0,25.5,no,northeast,male,no
57,1,42.1,yes,southeast,male,yes
62,0,31.7,no,northeast,female,yes
59,2,29.7,no,southeast,male,yes
37,0,36.2,no,southeast,male,yes
64,0,40.5,no,southeast,male,yes
38,1,28,no,northeast,male,yes
33,3,38.9,no,southwest,female,no
46,2,30.2,no,southwest,female,yes
46,1,28.1,no,southeast,female,yes
53,0,31.4,no,southeast,male,yes
34,3,38,no,southwest,female,no
20,2,31.8,no,southeast,female,no
63,0,36.3,no,southeast,female,yes
54,0,47.4,yes,southeast,female,yes
54,0,30.2,no,northwest,male,yes
49,2,25.8,yes,northwest,male,yes
28,0,35.4,no,northeast,male,no
54,2,46.7,no,southwest,female,yes
25,0,28.6,no,northeast,female,no
43,0,46.2,yes,southeast,female,yes
63,0,30.8,no,southwest,male,yes
32,0,28.9,no,southeast,female,no
62,0,21.4,no,southwest,male,yes
52,2,31.7,no,northwest,female,yes
25,0,41.3,no,northeast,female,no
28,2,23.8,no,southwest,male,no
46,1,33.4,no,northeast,male,yes
34,0,34.2,no,southeast,male,no
35,3,34.1,yes,northwest,female,yes
19,0,35.5,no,northwest,male,no
46,2,20,no,northwest,female,yes
54,0,32.7,no,northeast,female,yes
27,0,30.5,no,southwest,male,no
50,1,44.8,no,southeast,male,yes
18,2,32.1,no,southeast,female,no
19,0,30.5,no,northwest,female,no
38,1,40.6,no,northwest,female,yes
41,2,30.6,no,northwest,male,yes
49,5,31.9,no,southwest,female,yes
48,2,40.6,yes,northwest,male,yes
31,0,29.1,no,southwest,female,no
18,1,37.3,no,southeast,female,no
30,2,43.1,no,southeast,female,no
62,1,36.9,no,northeast,female,yes
57,2,34.3,no,northeast,female,yes
58,0,27.2,no,northwest,female,yes
22,0,26.8,no,southeast,male,no
31,1,38.1,yes,northeast,female,no
52,1,30.2,no,southwest,male,yes
25,0,23.5,no,northeast,female,no
59,1,25.5,no,northeast,male,yes
19,0,30.6,no,northwest,male,no
39,2,45.4,no,southeast,male,yes
32,1,23.7,no,southeast,female,no
19,0,20.7,no,southwest,male,no
33,1,28.3,no,southeast,female,no
21,3,20.2,no,northeast,male,no
34,1,30.2,yes,northwest,female,no
61,0,35.9,no,northeast,female,yes
38,1,30.7,no,southeast,female,yes
58,0,29,no,southwest,female,yes
47,1,19.6,no,northwest,male,yes
20,2,31.1,no,southeast,male,no
21,1,21.9,yes,northeast,female,no
41,0,40.3,no,southeast,male,yes
46,1,33.7,no,northeast,female,yes
42,2,29.5,no,southeast,female,yes
34,1,33.3,no,northeast,female,no
43,2,32.6,no,southwest,male,yes
52,2,37.5,no,northwest,female,yes
18,0,39.2,no,southeast,female,no
51,0,31.6,no,northwest,male,yes
56,0,25.3,no,southwest,female,yes
64,3,39.1,no,southeast,female,yes
19,0,28.3,yes,northwest,female,no
51,0,34.1,no,southeast,female,yes
27,0,25.2,no,northeast,female,no
59,0,23.7,yes,northwest,female,yes
28,2,27,no,northeast,male,no
30,2,37.8,yes,southwest,male,no
47,1,29.4,no,southeast,female,yes
38,2,34.8,no,southwest,female,yes
18,0,33.2,no,northeast,female,no
34,3,19,no,northeast,female,no
20,0,33,no,southeast,female,no
47,1,36.6,yes,southeast,female,yes
56,0,28.6,no,northeast,female,yes
49,2,25.6,yes,southwest,male,yes
19,0,33.1,yes,southeast,female,no
55,0,37.1,no,southwest,female,yes
30,1,31.4,no,southwest,male,no
37,4,34.1,yes,southwest,male,yes
49,1,21.3,no,southwest,female,yes
18,0,33.5,yes,northeast,male,no
59,0,28.8,no,northwest,male,yes
29,0,26,no,northwest,female,no
36,3,28.9,no,northeast,male,yes
33,1,42.5,no,southeast,male,no
58,0,38,no,southwest,male,yes
44,0,39,yes,northwest,female,yes
53,1,36.1,no,southwest,male,yes
24,0,29.3,no,southwest,male,no
29,0,35.5,no,southeast,female,no
40,2,22.7,no,northeast,male,yes
51,1,39.7,no,southwest,male,yes
64,0,38.2,no,northeast,male,yes
19,1,24.5,no,northwest,female,no
35,2,38.1,no,northeast,female,yes
39,0,26.4,yes,northeast,male,yes
56,4,33.7,no,southeast,male,yes
33,5,42.4,no,southwest,male,no
42,3,28.3,yes,northwest,male,yes
61,0,33.9,no,northeast,male,yes
23,3,35,no,northwest,female,no
43,2,35.3,no,southeast,male,yes
48,3,30.8,no,northeast,male,yes
39,1,26.2,no,northwest,male,yes
40,3,23.4,no,northeast,female,yes
18,0,28.5,no,northeast,male,no
58,0,33,no,northeast,female,yes
49,2,42.7,no,southeast,female,yes
53,1,39.6,no,southeast,female,yes
48,0,31.1,no,southeast,female,yes
45,2,36.3,no,southeast,female,yes
59,0,35.2,no,southeast,female,yes
52,2,25.3,yes,southeast,female,yes
26,1,42.4,no,southwest,female,no
27,2,33.2,no,northwest,male,no
48,1,35.9,no,northeast,female,yes
57,4,28.8,no,northeast,female,yes
37,3,46.5,no,southeast,male,yes
57,1,24,no,southeast,female,yes
32,1,31.5,no,northeast,female,no
18,0,33.7,no,southeast,male,no
64,0,23,yes,southeast,female,yes
43,2,38.1,yes,southeast,male,yes
49,1,28.7,no,southwest,male,yes
40,2,32.8,yes,northwest,female,yes
